course,match_score,explanation,pass_rate,difficulty,avg_workload_clicks,n_assessments,has_exam,course_type,style_match,predicted_risk,student_id
EEE,92.8,"Content: Your engagement style is 90% similar to successful students in EEE (pass rate: 61%) | Collab: 0 similar students took EEE, weighted score: 0.00/1.00",61.5,38.5,2094.0,15,True,Content-heavy,82.7,100.0,532668
DDD,75.2,"Content: Your engagement style is 91% similar to successful students in DDD (pass rate: 45%) | Collab: 0 similar students took DDD, weighted score: 0.00/1.00",45.4,54.6,1554.0,35,True,Balanced,84.2,100.0,532668
AAA,70.0,"Content: Your engagement style is 92% similar to successful students in AAA (pass rate: 72%) | Collab: 0 similar students took AAA, weighted score: 0.00/1.00",72.2,27.8,2029.0,12,True,Content-heavy,90.9,95.0,532668
EEE,77.8,"Content: Your engagement style is 92% similar to successful students in EEE (pass rate: 61%) | Collab: 0 similar students took EEE, weighted score: 0.00/1.00",61.5,38.5,2094.0,15,True,Content-heavy,92.6,100.0,371530
GGG,70.0,"Content: Your engagement style is 95% similar to successful students in GGG (pass rate: 64%) | Collab: 0 similar students took GGG, weighted score: 0.00/1.00",64.0,36.0,756.0,30,True,Balanced,91.3,95.0,371530
FFF,51.8,"Content: Your engagement style is 92% similar to successful students in FFF (pass rate: 51%) | Collab: 0 similar students took FFF, weighted score: 0.00/1.00",51.4,48.6,3913.0,52,True,Balanced,90.4,100.0,371530
CCC,70.0,"Content: Your engagement style is 85% similar to successful students in CCC (pass rate: 42%) | Collab: 0 similar students took CCC, weighted score: 0.00/1.00",42.1,57.9,2096.0,20,True,Balanced,84.8,95.0,569334
EEE,53.2,"Content: Your engagement style is 75% similar to successful students in EEE (pass rate: 61%) | Collab: 0 similar students took EEE, weighted score: 0.00/1.00",61.5,38.5,2094.0,15,True,Content-heavy,63.2,100.0,569334
GGG,41.9,"Content: Your engagement style is 79% similar to successful students in GGG (pass rate: 64%) | Collab: 0 similar students took GGG, weighted score: 0.00/1.00",64.0,36.0,756.0,30,True,Balanced,68.5,45.0,569334
GGG,70.2,"Content: Your engagement style is 99% similar to successful students in GGG (pass rate: 64%) | Collab: 0 similar students took GGG, weighted score: 0.00/1.00",64.0,36.0,756.0,30,True,Balanced,95.3,30.0,638625
EEE,60.5,"Content: Your engagement style is 99% similar to successful students in EEE (pass rate: 61%) | Collab: 0 similar students took EEE, weighted score: 0.00/1.00",61.5,38.5,2094.0,15,True,Content-heavy,91.0,75.0,638625
AAA,42.0,"Content: Your engagement style is 97% similar to successful students in AAA (pass rate: 72%) | Collab: 0 similar students took AAA, weighted score: 0.00/1.00",72.2,27.8,2029.0,12,True,Content-heavy,78.7,15.0,638625
CCC,89.4,"Content: Your engagement style is 98% similar to successful students in CCC (pass rate: 42%) | Collab: 0 similar students took CCC, weighted score: 0.00/1.00",42.1,57.9,2096.0,20,True,Balanced,85.9,20.0,1541472
GGG,70.2,"Content: Your engagement style is 98% similar to successful students in GGG (pass rate: 64%) | Collab: 0 similar students took GGG, weighted score: 0.00/1.00",64.0,36.0,756.0,30,True,Balanced,90.1,5.0,1541472
EEE,53.3,"Content: Your engagement style is 98% similar to successful students in EEE (pass rate: 61%) | Collab: 0 similar students took EEE, weighted score: 0.00/1.00",61.5,38.5,2094.0,15,True,Content-heavy,85.8,85.0,1541472
